myFinalAssignmentAnnoatatedWithData1	myFinalAssignmentAnnoatatedWithData2	myFinalAssignmentAnnoatatedWithData3	myFinalAssignmentAnnoatatedWithData4	myFinalAssignmentAnnoatatedWithData5	myFinalAssignmentAnnoatatedWithData6	myFinalAssignmentAnnoatatedWithData7	myFinalAssignmentAnnoatatedWithData8	myFinalAssignmentAnnoatatedWithData9	myFinalAssignmentAnnoatatedWithData10	myFinalAssignmentAnnoatatedWithData11	myFinalAssignmentAnnoatatedWithData12	myFinalAssignmentAnnoatatedWithData13	myFinalAssignmentAnnoatatedWithData14	myFinalAssignmentAnnoatatedWithData15	myFinalAssignmentAnnoatatedWithData16	myFinalAssignmentAnnoatatedWithData17	myFinalAssignmentAnnoatatedWithData18	myFinalAssignmentAnnoatatedWithData19	myFinalAssignmentAnnoatatedWithData20	myFinalAssignmentAnnoatatedWithData21	myFinalAssignmentAnnoatatedWithData22	myFinalAssignmentAnnoatatedWithData23	myFinalAssignmentAnnoatatedWithData24	myFinalAssignmentAnnoatatedWithData25	myFinalAssignmentAnnoatatedWithData26	myFinalAssignmentAnnoatatedWithData27	myFinalAssignmentAnnoatatedWithData28	myFinalAssignmentAnnoatatedWithData29	myFinalAssignmentAnnoatatedWithData30	myFinalAssignmentAnnoatatedWithData31	myFinalAssignmentAnnoatatedWithData32	myFinalAssignmentAnnoatatedWithData33	myFinalAssignmentAnnoatatedWithData34	myFinalAssignmentAnnoatatedWithData35	myFinalAssignmentAnnoatatedWithData36	myFinalAssignmentAnnoatatedWithData37	myFinalAssignmentAnnoatatedWithData38	myFinalAssignmentAnnoatatedWithData39	myFinalAssignmentAnnoatatedWithData40	myFinalAssignmentAnnoatatedWithData41	myFinalAssignmentAnnoatatedWithData42	myFinalAssignmentAnnoatatedWithData43	myFinalAssignmentAnnoatatedWithData44	myFinalAssignmentAnnoatatedWithData45	myFinalAssignmentAnnoatatedWithData46	myFinalAssignmentAnnoatatedWithData47	myFinalAssignmentAnnoatatedWithData48	myFinalAssignmentAnnoatatedWithData49	myFinalAssignmentAnnoatatedWithData50	myFinalAssignmentAnnoatatedWithData51	myFinalAssignmentAnnoatatedWithData52	myFinalAssignmentAnnoatatedWithData53	myFinalAssignmentAnnoatatedWithData54	myFinalAssignmentAnnoatatedWithData55	myFinalAssignmentAnnoatatedWithData56	myFinalAssignmentAnnoatatedWithData57	myFinalAssignmentAnnoatatedWithData58	myFinalAssignmentAnnoatatedWithData59	myFinalAssignmentAnnoatatedWithData60	myFinalAssignmentAnnoatatedWithData61	myFinalAssignmentAnnoatatedWithData62	myFinalAssignmentAnnoatatedWithData63	myFinalAssignmentAnnoatatedWithData64	myFinalAssignmentAnnoatatedWithData65	myFinalAssignmentAnnoatatedWithData66	myFinalAssignmentAnnoatatedWithData67	myFinalAssignmentAnnoatatedWithData68	myFinalAssignmentAnnoatatedWithData69	myFinalAssignmentAnnoatatedWithData70	myFinalAssignmentAnnoatatedWithData71	myFinalAssignmentAnnoatatedWithData72	myFinalAssignmentAnnoatatedWithData73	myFinalAssignmentAnnoatatedWithData74	myFinalAssignmentAnnoatatedWithData75	myFinalAssignmentAnnoatatedWithData76	myFinalAssignmentAnnoatatedWithData77	myFinalAssignmentAnnoatatedWithData78	myFinalAssignmentAnnoatatedWithData79	myFinalAssignmentAnnoatatedWithData80	myFinalAssignmentAnnoatatedWithData81	myFinalAssignmentAnnoatatedWithData82	myFinalAssignmentAnnoatatedWithData83	myFinalAssignmentAnnoatatedWithData84	myFinalAssignmentAnnoatatedWithData85	myFinalAssignmentAnnoatatedWithData86	myFinalAssignmentAnnoatatedWithData87	myFinalAssignmentAnnoatatedWithData88	myFinalAssignmentAnnoatatedWithData89	myFinalAssignmentAnnoatatedWithData90	myFinalAssignmentAnnoatatedWithData91	myFinalAssignmentAnnoatatedWithData92	myFinalAssignmentAnnoatatedWithData93	myFinalAssignmentAnnoatatedWithData94	myFinalAssignmentAnnoatatedWithData95	myFinalAssignmentAnnoatatedWithData96	myFinalAssignmentAnnoatatedWithData97	myFinalAssignmentAnnoatatedWithData98	myFinalAssignmentAnnoatatedWithData99	myFinalAssignmentAnnoatatedWithData100	myFinalAssignmentAnnoatatedWithData101	myFinalAssignmentAnnoatatedWithData102	myFinalAssignmentAnnoatatedWithData103	myFinalAssignmentAnnoatatedWithData104	myFinalAssignmentAnnoatatedWithData105	myFinalAssignmentAnnoatatedWithData106	myFinalAssignmentAnnoatatedWithData107	myFinalAssignmentAnnoatatedWithData108	myFinalAssignmentAnnoatatedWithData109	myFinalAssignmentAnnoatatedWithData110	myFinalAssignmentAnnoatatedWithData111	myFinalAssignmentAnnoatatedWithData112	myFinalAssignmentAnnoatatedWithData113	myFinalAssignmentAnnoatatedWithData114	myFinalAssignmentAnnoatatedWithData115	myFinalAssignmentAnnoatatedWithData116	myFinalAssignmentAnnoatatedWithData117	myFinalAssignmentAnnoatatedWithData118	myFinalAssignmentAnnoatatedWithData119	myFinalAssignmentAnnoatatedWithData120	myFinalAssignmentAnnoatatedWithData121	myFinalAssignmentAnnoatatedWithData122	myFinalAssignmentAnnoatatedWithData123	myFinalAssignmentAnnoatatedWithData124	myFinalAssignmentAnnoatatedWithData125	myFinalAssignmentAnnoatatedWithData126	myFinalAssignmentAnnoatatedWithData127	myFinalAssignmentAnnoatatedWithData128	myFinalAssignmentAnnoatatedWithData129	myFinalAssignmentAnnoatatedWithData130	myFinalAssignmentAnnoatatedWithData131	myFinalAssignmentAnnoatatedWithData132	myFinalAssignmentAnnoatatedWithData133	myFinalAssignmentAnnoatatedWithData134	myFinalAssignmentAnnoatatedWithData135	myFinalAssignmentAnnoatatedWithData136	myFinalAssignmentAnnoatatedWithData137	myFinalAssignmentAnnoatatedWithData138	myFinalAssignmentAnnoatatedWithData139	myFinalAssignmentAnnoatatedWithData140	myFinalAssignmentAnnoatatedWithData141	myFinalAssignmentAnnoatatedWithData142
ID	Pattern #	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group2	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group3	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4	Group4
Mapped Reads	NA	9087210	11912700	12246000	7941490	10578700	11691100	11292400	10553000	9084740	9845810	10160700	11677200	7897550	12573400	11144400	10975000	15195200	12100500	10670400	11306200	11815000	9180620	8801040	12407300	7747800	11088700	11925100	10662100	8918680	17755000	9648630	10858600	9026210	9050320	10775900	19766000	27025600	28631900	28569100	28148800	17983800	22761900	20864100	33995500	28342200	38606000	19638800	18009100	30616200	26050500	26815600	29493400	21867800	29484800	39193500	18912000	38418800	19304000	44137100	18023100	24736200	38937700	23060400	27852900	28804000	25606900	21394700	19936500	25475300	24063100	28095800	32892200	33740300	24234200	20667900	31729600	22410200	32026800	25814300	26724500	30768500	22937900	32279800	24836100	25560800	27309100	25643700	29831700	25608300	23173000	20975000	26271000	29000800	30428200	28061400	27944500	33678400	34483300	43282300	30121800	25723300	29950300	47756700	24842800	27255200	37531300	17862500	28173800	18759200	27714200	27694500	21772800	17534800	17399600	36374600	26854300	34575700	27897500	48631900	28386500	19712000	28295800	29496700	21452700	17462500	20645200	18726600	23764500	22739200	21498900	36710700	24237300	21995000	23494000	22023900	16549300	28915200	24703900	19804600	23598800
Simulated_feature_group_A_08	4	5	29	1	14	18	1	5	65	2	3	7	12	28	0	8	33	10	121	15	1	1	9	1	113	5	38	24	0	24	6	19	23	8	28	10	134	33	237	67	5	40	93	18	47	19	114	18	349	20	77	124	94	216	16	112	24	1	108	71	11	14	61	7	101	2	10	88	30	16	85	207	1316	378	1823	440	754	654	706	500	659	29	187	91	384	388	628	179	523	348	315	46	1934	412	958	196	521	115	151	853	463	111	327	556	119	1709	98	3659	147	13243	1927	27686	3149	142	1212	1965	1485	5892	2616	308	4120	2396	3145	894	845	16776	10067	11809	7388	3887	613	6975	5815	8545	82	11859	4249	7757	672	1486	43
Simulated_feature_group_A_13	4	11	8	12	27	7	9	4	14	9	23	2	8	1	3	9	9	9	4	1	13	3	3	19	6	10	8	31	8	1	6	20	16	22	10	3	41	31	10	41	16	20	16	7	34	11	41	14	42	21	24	57	28	38	39	84	44	85	9	31	47	47	56	59	98	48	33	9	34	38	16	258	238	132	674	209	234	585	198	359	404	355	322	127	97	208	131	185	464	311	199	161	281	195	534	428	306	357	676	609	112	598	217	61	298	357	2200	740	1756	6845	1347	4076	1459	1699	1833	1543	6411	2558	5461	2676	3269	1500	1470	1486	1502	1367	3588	3431	821	1107	2686	1072	4139	1938	1576	933	4812	3019	2600	4303	1355
Simulated_feature_group_A_15	4	12	28	39	16	29	2	15	25	11	32	22	37	19	16	26	17	45	19	25	29	25	24	16	25	18	23	15	8	24	23	18	17	57	19	10	146	44	116	105	108	68	86	218	61	85	148	82	50	65	111	233	44	24	146	94	223	164	45	93	114	65	57	154	96	88	33	171	66	68	71	406	853	538	660	396	470	653	718	797	691	255	292	318	435	393	684	624	561	305	586	1247	850	1417	924	522	264	724	406	461	1034	1348	357	676	838	316	3438	10663	6233	4152	8124	6518	10346	3768	3225	10370	10940	7559	2485	10492	8423	7216	5596	4598	4353	8234	6027	7385	9656	10451	6586	13285	10422	5799	5622	6130	6566	2629	5410	4297	5387
Simulated_feature_group_A_43	4	1	6	0	2	15	15	39	6	2	2	7	17	4	13	5	20	16	6	43	67	30	32	0	37	16	6	6	30	12	11	51	0	22	4	28	121	36	226	62	184	76	66	7	24	153	159	106	42	1	40	206	3	28	23	72	145	45	213	138	173	173	0	224	23	53	114	124	19	156	100	176	1267	351	658	233	372	759	118	1303	598	46	615	2966	189	408	470	293	763	1799	0	89	330	41	1351	358	235	1736	495	223	190	620	210	1269	93	2450	16001	1253	9128	23423	13135	7647	4862	11912	12938	29963	13867	1500	5555	13055	1281	2855	1346	83	4876	2274	3479	843	3174	709	14313	1044	7081	3050	7421	4250	2170	1414	1460	363	17738
Simulated_feature_group_A_78	4	10	19	14	19	30	25	34	10	25	10	31	14	35	22	9	27	10	21	20	22	5	26	26	18	15	9	21	15	10	18	14	23	15	9	36	94	207	130	70	58	82	124	49	239	112	109	18	66	143	53	64	84	116	142	142	57	99	128	99	63	140	130	97	70	110	54	169	90	30	83	264	820	656	224	796	508	720	1066	657	1336	1052	710	767	1654	636	945	922	523	616	614	695	547	201	1448	776	760	301	139	439	527	925	598	729	482	605	5134	4669	8745	8599	6725	2420	7969	7306	3201	6032	6420	14017	17366	2065	6053	4446	5236	7686	6841	6053	10284	5242	2157	4957	9706	7147	5876	2298	10663	6584	8062	12423	8587	7529	8189
Simulated_feature_group_A_106	1	179	144	194	70	89	78	190	93	95	95	168	135	118	117	169	120	95	111	113	145	117	86	158	112	132	110	187	108	212	188	87	105	82	121	73	736	465	597	415	333	531	702	769	462	602	639	408	306	740	507	570	883	573	1189	507	266	671	426	427	429	408	617	582	572	572	391	645	513	438	526	3707	4558	4965	3154	4360	5645	2999	5530	6724	3151	4274	4754	3301	2409	2508	3656	2814	4859	5282	5640	3195	4330	2066	5533	4892	3762	2053	5101	1725	4489	2871	4611	2792	5201	5280	23392	31397	25754	44905	26896	42612	25935	28028	52564	25599	24523	19603	41171	31799	25007	35891	33592	23472	36702	32132	34593	27481	18096	24719	42970	35415	70623	42584	52937	32680	25131	31462	35709	50748	39239
Simulated_feature_group_B_19	5	13431	19912	13692	2135	24407	1625	25168	5748	5266	6706	14360	22002	18845	15011	26621	1619	13212	17415	3451	1971	12609	34578	11785	3799	21878	1396	9328	33208	1071	5706	7245	9296	11615	4343	21704	2104	635	5623	473	21	1447	726	396	107	321	2099	2058	938	910	1068	1420	572	695	689	982	808	2562	1620	679	70	597	1362	227	1171	248	68	1210	813	3047	655	109	180	519	441	203	60	26	250	177	135	24	87	293	60	29	311	128	220	205	106	116	52	623	317	88	330	130	137	372	530	155	105	74	389	7	22	1	47	0	3	17	30	89	0	20	116	164	98	29	15	72	18	123	78	39	10	26	16	10	34	32	77	0	20	117	38	84	69	3	5
Simulated_feature_group_B_92	5	1579	6889	4845	1050	9763	6001	9414	7294	3306	9197	9878	5686	4430	24543	13138	2706	8699	2384	704	2649	5487	5080	5507	6219	6428	5741	17879	6245	6747	2004	7326	7517	3572	1256	3328	893	2854	361	37	59	267	537	293	127	774	13	60	754	606	430	340	312	441	614	747	870	825	1463	82	1030	945	1004	1388	93	1264	445	1063	327	1183	1140	129	19	6	10	130	290	48	35	143	27	77	48	141	51	81	160	101	96	87	1	31	118	56	118	56	20	95	40	295	15	7	77	26	108	41	18	9	4	17	20	27	23	8	4	9	32	14	32	30	3	1	21	32	18	10	4	23	40	19	42	22	11	6	21	31	28	41	42	17	2
